Date,England_new_central,England_new_lower,England_new_upper,England_old_central,England_old_lower,England_old_upper,North East_new_central,North East_new_lower,North East_new_upper,North East_old_central,North East_old_lower,North East_old_upper,North West_new_central,North West_new_lower,North West_new_upper,North West_old_central,North West_old_lower,North West_old_upper,Yorkshire and The Humber_new_central,Yorkshire and The Humber_new_lower,Yorkshire and The Humber_new_upper,Yorkshire and The Humber_old_central,Yorkshire and The Humber_old_lower,Yorkshire and The Humber_old_upper,East Midlands_new_central,East Midlands_new_lower,East Midlands_new_upper,East Midlands_old_central,East Midlands_old_lower,East Midlands_old_upper,West Midlands_new_central,West Midlands_new_lower,West Midlands_new_upper,West Midlands_old_central,West Midlands_old_lower,West Midlands_old_upper,East of England_new_central,East of England_new_lower,East of England_new_upper,East of England_old_central,East of England_old_lower,East of England_old_upper,London_new_central,London_new_lower,London_new_upper,London_old_central,London_old_lower,London_old_upper,South East_new_central,South East_new_lower,South East_new_upper,South East_old_central,South East_old_lower,South East_old_upper,South West_new_central,South West_new_lower,South West_new_upper,South West_old_central,South West_old_lower,South West_old_upper
22/11/2020,0.141841795,0.125768891,0.158961622,0.917889432,0.871085511,0.964714743,0.128117111,0.064601995,0.214647196,1.506951566,1.244178763,1.804914633,0.106412704,0.073839691,0.146513976,1.578079627,1.420629785,1.746255436,0.137312613,0.091620511,0.190942804,1.633413265,1.436160198,1.835742293,0.113210683,0.067345149,0.17112827,1.14218806,0.963589987,1.34149608,0.094510381,0.05526328,0.145628285,1.261696175,1.081641326,1.456627928,0.113537971,0.076822429,0.15705023,0.345176978,0.275517397,0.423219543,0.190510877,0.150315978,0.235314563,0.518416092,0.448203356,0.594027993,0.223086699,0.170153747,0.282122344,0.490093611,0.410167062,0.579937271,0.095224413,0.055643393,0.144539497,0.498291466,0.394890655,0.613000153
23/11/2020,0.14286988,0.127277463,0.159897607,0.881400562,0.83489183,0.928524235,0.130994826,0.067832274,0.215643025,1.439138036,1.179846032,1.730443045,0.107919042,0.075203315,0.147027425,1.525926333,1.365317326,1.694004588,0.132634112,0.088926625,0.184170068,1.584307573,1.387983938,1.791267679,0.111085073,0.067173381,0.16662019,1.107067132,0.926517845,1.304997,0.09572085,0.057244165,0.146092548,1.19492926,1.015573545,1.388430231,0.115770016,0.079217272,0.159154414,0.33889943,0.270342388,0.417056767,0.19371222,0.153387099,0.238503427,0.498776744,0.429183732,0.574382264,0.225730803,0.173203198,0.285405471,0.46696737,0.387703785,0.555529731,0.095409458,0.057334975,0.143035992,0.457946947,0.358945589,0.569413467
24/11/2020,0.144696809,0.129134085,0.161653147,0.850408198,0.804644651,0.897118497,0.133856694,0.071006661,0.21704231,1.37927951,1.123343526,1.669390384,0.110174611,0.077769917,0.148927751,1.479647518,1.315622275,1.647744206,0.128242709,0.0864443,0.178886027,1.539935802,1.342739192,1.747405178,0.110387312,0.067721918,0.164743226,1.078355327,0.897573068,1.276133559,0.097250955,0.059252357,0.148219763,1.137855281,0.962821097,1.327938857,0.119308837,0.082890332,0.162353524,0.333944169,0.264827722,0.411279039,0.198964932,0.15802944,0.245124225,0.485035066,0.415365255,0.561189878,0.228581924,0.175965723,0.289432128,0.447762811,0.368567361,0.535065928,0.09570454,0.058127357,0.141355543,0.423511697,0.329809636,0.530587018
25/11/2020,0.147374882,0.131733498,0.164722371,0.824508362,0.779384734,0.871385509,0.136625517,0.074519714,0.219983975,1.326878828,1.074823888,1.612659975,0.113161658,0.080812881,0.152400702,1.438428102,1.276001511,1.60616452,0.124118121,0.08413259,0.173036818,1.499705347,1.301972165,1.703809573,0.111096968,0.068538415,0.165046549,1.055965913,0.878574104,1.255215588,0.099071142,0.061017239,0.150628846,1.089715195,0.918701038,1.274292825,0.124321574,0.087806046,0.168058266,0.330294202,0.261869222,0.40721221,0.206534739,0.164758183,0.253817592,0.476967958,0.407174536,0.552160162,0.231670607,0.178173453,0.294162475,0.432289383,0.353822049,0.517641839,0.096100936,0.05865005,0.141510566,0.394381816,0.304235959,0.496903183
26/11/2020,0.150963258,0.135327586,0.168404461,0.803257229,0.758779931,0.848945899,0.139241276,0.077247412,0.220239457,1.281399713,1.036558288,1.563182923,0.116839605,0.083539497,0.157166069,1.401337527,1.24160706,1.565978246,0.12026368,0.08064857,0.168529024,1.463040378,1.268709486,1.664090212,0.113180956,0.070531894,0.167152586,1.039728155,0.864277075,1.234070131,0.101140745,0.063254991,0.152541093,1.049672682,0.884107533,1.228626471,0.130983479,0.093577733,0.175999308,0.327918385,0.260979322,0.403904166,0.216693528,0.17376663,0.265376622,0.474290756,0.40495686,0.549452777,0.235062341,0.181005551,0.297613521,0.420335597,0.344225561,0.50428486,0.096604021,0.05984818,0.14177609,0.370009006,0.284179545,0.468184796
27/11/2020,0.155526196,0.139543148,0.173196481,0.786175038,0.742655049,0.830699104,0.141664801,0.079848526,0.224076056,1.242262097,1.003480174,1.519569429,0.121137187,0.086878714,0.16302513,1.367349576,1.211631726,1.528259218,0.116700419,0.078322298,0.164514654,1.429377715,1.243081296,1.62334418,0.116587537,0.073291433,0.171067421,1.029379716,0.858392664,1.220045026,0.103408054,0.065054587,0.154196187,1.016834118,0.857016752,1.189850173,0.139477456,0.101069877,0.185584519,0.326769671,0.260610088,0.403178287,0.229720745,0.185414867,0.279337429,0.476660396,0.407690077,0.551241636,0.238858479,0.184813694,0.30257631,0.411672875,0.338064498,0.493095229,0.097231802,0.060982203,0.142937435,0.349896208,0.268436827,0.443095999
28/11/2020,0.161128015,0.144854954,0.179017936,0.772741161,0.730866712,0.816653049,0.143877385,0.081729652,0.225694828,1.208828286,0.976914852,1.474060835,0.125942902,0.090767553,0.1694866,1.335361924,1.182530849,1.492232482,0.113459043,0.075828827,0.160082625,1.398139216,1.218489947,1.590948869,0.121235038,0.076895903,0.177267562,1.02454717,0.855765278,1.214375067,0.105810523,0.066463593,0.157629427,0.99025925,0.837136835,1.157576589,0.14998908,0.110246549,0.197170941,0.326780654,0.260895198,0.40346441,0.245899764,0.200237666,0.297852282,0.483663294,0.415953439,0.556655116,0.243193088,0.188645447,0.30737242,0.406053702,0.333808474,0.485464651,0.098010849,0.061568784,0.143767552,0.333589221,0.255722726,0.42414229
29/11/2020,0.167826278,0.151220224,0.185899738,0.762387661,0.72150705,0.805703916,0.145877999,0.083159903,0.227425675,1.180390073,0.952959091,1.440232314,0.131096966,0.094738455,0.175568161,1.304230839,1.156233014,1.461262125,0.110572222,0.074154248,0.156574758,1.368699092,1.190042931,1.5587145,0.126997655,0.080881299,0.185974871,1.024720332,0.856530796,1.211952436,0.108276495,0.068416358,0.160736761,0.968969558,0.8187324,1.129364414,0.162696842,0.120850312,0.212108996,0.327858713,0.262791881,0.402864691,0.265509196,0.217428965,0.318136918,0.494792993,0.427264766,0.567866381,0.248227747,0.193833709,0.313689781,0.403206602,0.332509618,0.482677152,0.098971018,0.062222868,0.145199687,0.320667684,0.245206198,0.408818722
30/11/2020,0.175665497,0.158766761,0.194517234,0.754499031,0.713247803,0.797384,0.147680603,0.084126482,0.231684745,1.156166305,0.932195426,1.419310281,0.136389071,0.098395025,0.182738783,1.272833149,1.127251773,1.426692851,0.108069197,0.072201812,0.153914244,1.340365928,1.166364983,1.530420407,0.133692426,0.085157751,0.196654554,1.029227908,0.861273312,1.218114329,0.11073001,0.069399073,0.164914844,0.951961707,0.802519687,1.113665317,0.177758448,0.133031485,0.229786696,0.329883418,0.264331939,0.406932984,0.288810619,0.238355406,0.343328642,0.509425634,0.441582881,0.583225612,0.2541468,0.198599109,0.320403416,0.402830945,0.331459249,0.483269086,0.100140623,0.062523163,0.147397895,0.310737956,0.23527042,0.398277925
01/12/2020,0.184673993,0.166830681,0.204365738,0.748423977,0.705887339,0.791744269,0.149313889,0.085173713,0.234388074,1.135317303,0.906609113,1.400242902,0.141566297,0.101948316,0.190669452,1.24015821,1.09773372,1.395594812,0.105973761,0.070000328,0.152084635,1.312394155,1.138400306,1.500341102,0.141072996,0.089622907,0.208989558,1.037222457,0.865280629,1.229834832,0.113099724,0.071120298,0.168472068,0.93823179,0.786941713,1.104118752,0.195295407,0.14738899,0.252541202,0.332708433,0.266169659,0.411960368,0.316035858,0.262463412,0.374131674,0.526803322,0.456789646,0.604694243,0.261155368,0.20384267,0.327214535,0.404594515,0.332200841,0.487755565,0.101543413,0.063399248,0.150031764,0.303429251,0.227493505,0.389924206
