week_specimen,nhser_name,utla_name,utla_code,week_infection,prop_sgtf,samples
2020-09-21,East of England,Bedford,E06000055,2020-09-14,0.02127659574468085,47
2020-09-21,East of England,Buckinghamshire,E10000002,2020-09-14,0,11
2020-09-21,East of England,Cambridgeshire,E10000003,2020-09-14,0.029411764705882353,34
2020-09-21,East of England,Central Bedfordshire,E06000056,2020-09-14,0.04878048780487805,41
2020-09-21,East of England,Essex,E10000012,2020-09-14,0.04072398190045249,221
2020-09-21,East of England,Hertfordshire,E10000015,2020-09-14,0.04926108374384237,203
2020-09-21,East of England,Luton,E06000032,2020-09-14,0.09401709401709402,117
2020-09-21,East of England,Milton Keynes,E06000042,2020-09-14,0.027777777777777776,36
2020-09-21,East of England,Norfolk,E10000020,2020-09-14,0.14666666666666667,75
2020-09-21,East of England,Northamptonshire,E10000021,2020-09-14,0.1111111111111111,9
2020-09-21,East of England,Peterborough,E06000031,2020-09-14,0,47
2020-09-21,East of England,Southend-on-Sea,E06000033,2020-09-14,0.05405405405405406,37
2020-09-21,East of England,Suffolk,E10000029,2020-09-14,0.07407407407407407,27
2020-09-21,East of England,Thurrock,E06000034,2020-09-14,0.02857142857142857,35
2020-09-21,London,Barking and Dagenham,E09000002,2020-09-14,0.01652892561983471,121
2020-09-21,London,Barnet,E09000003,2020-09-14,0.03225806451612903,93
2020-09-21,London,Bexley,E09000004,2020-09-14,0,46
2020-09-21,London,Brent,E09000005,2020-09-14,0.03508771929824561,114
2020-09-21,London,Bromley,E09000006,2020-09-14,0.06349206349206349,63
2020-09-21,London,Camden,E09000007,2020-09-14,0.08333333333333333,36
2020-09-21,London,Croydon,E09000008,2020-09-14,0.012195121951219513,82
2020-09-21,London,Ealing,E09000009,2020-09-14,0.007194244604316547,139
2020-09-21,London,Enfield,E09000010,2020-09-14,0.031914893617021274,94
2020-09-21,London,Greenwich,E09000011,2020-09-14,0.09302325581395349,86
2020-09-21,London,Hackney and City of London,E09000001,2020-09-14,0,6
2020-09-21,London,Hackney and City of London,E09000012,2020-09-14,0.05405405405405406,111
2020-09-21,London,Hammersmith and Fulham,E09000013,2020-09-14,0.018867924528301886,53
2020-09-21,London,Haringey,E09000014,2020-09-14,0.07246376811594203,69
2020-09-21,London,Harrow,E09000015,2020-09-14,0.028169014084507043,71
2020-09-21,London,Havering,E09000016,2020-09-14,0.05084745762711865,118
2020-09-21,London,Hillingdon,E09000017,2020-09-14,0.013986013986013986,143
2020-09-21,London,Hounslow,E09000018,2020-09-14,0.015625,128
2020-09-21,London,Islington,E09000019,2020-09-14,0.0967741935483871,62
2020-09-21,London,Kensington and Chelsea,E09000020,2020-09-14,0.08,25
2020-09-21,London,Kingston upon Thames,E09000021,2020-09-14,0.12121212121212122,33
2020-09-21,London,Lambeth,E09000022,2020-09-14,0.07526881720430108,93
2020-09-21,London,Lewisham,E09000023,2020-09-14,0.11267605633802817,71
2020-09-21,London,Merton,E09000024,2020-09-14,0.15625,32
2020-09-21,London,Newham,E09000025,2020-09-14,0.033707865168539325,178
2020-09-21,London,Redbridge,E09000026,2020-09-14,0.024691358024691357,162
2020-09-21,London,Richmond upon Thames,E09000027,2020-09-14,0.05405405405405406,37
2020-09-21,London,Southwark,E09000028,2020-09-14,0.08181818181818182,110
2020-09-21,London,Sutton,E09000029,2020-09-14,0.05714285714285714,35
2020-09-21,London,Tower Hamlets,E09000030,2020-09-14,0.055944055944055944,143
2020-09-21,London,Waltham Forest,E09000031,2020-09-14,0.024390243902439025,82
2020-09-21,London,Wandsworth,E09000032,2020-09-14,0.03125,64
2020-09-21,London,Westminster,E09000033,2020-09-14,0.03571428571428571,56
2020-09-21,Midlands,Birmingham,E08000025,2020-09-14,0.006907137375287797,1303
2020-09-21,Midlands,Coventry,E08000026,2020-09-14,0.04395604395604396,182
2020-09-21,Midlands,Derby,E06000015,2020-09-14,0,37
2020-09-21,Midlands,Derbyshire,E10000007,2020-09-14,0.019736842105263157,152
2020-09-21,Midlands,Dudley,E08000027,2020-09-14,0.007352941176470588,136
2020-09-21,Midlands,"Herefordshire, County of",E06000019,2020-09-14,0,13
2020-09-21,Midlands,Leicester,E06000016,2020-09-14,0.008130081300813009,246
2020-09-21,Midlands,Leicestershire,E10000018,2020-09-14,0.021052631578947368,190
2020-09-21,Midlands,Lincolnshire,E10000019,2020-09-14,0.02857142857142857,70
